Timestamp,Trade #: 1,Price 1,quantity 1,Trade #: 2,Price 2,quantity 2,Trade #: 3,Price 3,quantity 3,Trade #: 4,Price 4,quantity 4,Trade #: 5,Price 5,quantity 5,Trade #: 6,Price 6,quantity 6,Trade #: 7,Price 7,quantity 7,Trade #: 8,Price 8,quantity 8,Trade #: 9,Price 9,quantity 9,Trade #: 10,Price 10,quantity 10,Trade #: 11,Price 11,quantity 11,Trade #: 12,Price 12,quantity 12,Trade #: 13,Price 13,quantity 13,Trade #: 14,Price 14,quantity 14,Trade #: 15,Price 15,quantity 15,Trade #: 16,Price 16,quantity 16,Trade #: 17,Price 17,quantity 17,Trade #: 18,Price 18,quantity 18,Trade #: 19,Price 19,quantity 19,Trade #: 20,Price 20,quantity 20,Trade #: 21,Price 21,quantity 21,Trade #: 22,Price 22,quantity 22,Trade #: 23,Price 23,quantity 23,Trade #: 24,Price 24,quantity 24,Trade #: 25,Price 25,quantity 25,Trade #: 26,Price 26,quantity 26,Trade #: 27,Price 27,quantity 27,Trade #: 28,Price 28,quantity 28,Trade #: 29,Price 29,quantity 29,Trade #: 30,Price 30,quantity 30,Trade #: 31,Price 31,quantity 31,Trade #: 32,Price 32,quantity 32,Trade #: 33,Price 33,quantity 33,Trade #: 34,Price 34,quantity 34,Trade #: 35,Price 35,quantity 35,Trade #: 36,Price 36,quantity 36,Trade #: 37,Price 37,quantity 37,Trade #: 38,Price 38,quantity 38,Trade #: 39,Price 39,quantity 39,Trade #: 40,Price 40,quantity 40,Trade #: 41,Price 41,quantity 41,Trade #: 42,Price 42,quantity 42,Trade #: 43,Price 43,quantity 43,Trade #: 44,Price 44,quantity 44,Trade #: 45,Price 45,quantity 45,Trade #: 46,Price 46,quantity 46,Trade #: 47,Price 47,quantity 47,Trade #: 48,Price 48,quantity 48,Trade #: 49,Price 49,quantity 49,Trade #: 50,Price 50,quantity 50,Trade #: 51,Price 51,quantity 51,Trade #: 52,Price 52,quantity 52,Trade #: 53,Price 53,quantity 53,Trade #: 54,Price 54,quantity 54,Trade #: 55,Price 55,quantity 55,Trade #: 56,Price 56,quantity 56,Trade #: 57,Price 57,quantity 57,Trade #: 58,Price 58,quantity 58,Trade #: 59,Price 59,quantity 59,Trade #: 60,Price 60,quantity 60,Trade #: 61,Price 61,quantity 61,Trade #: 62,Price 62,quantity 62,Trade #: 63,Price 63,quantity 63,Trade #: 64,Price 64,quantity 64
100,PEARLS,10002.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PEARLS,10002.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PEARLS,10002.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,PEARLS,9998.0,2,PEARLS,9998.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,PEARLS,9998.0,2,PEARLS,9998.0,1,BANANAS,4952.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,PEARLS,10004.0,1,PEARLS,10002.0,1,BANANAS,4952.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,PEARLS,10004.0,1,PEARLS,10002.0,1,BANANAS,4952.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,PEARLS,10004.0,1,PEARLS,10002.0,1,BANANAS,4952.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,PEARLS,10004.0,1,PEARLS,10002.0,1,BANANAS,4952.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,PEARLS,10004.0,1,PEARLS,10002.0,1,BANANAS,4952.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
