Sandbox logs:
0 OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
START RequestId: 2228fb39-d4f4-4e80-902c-38d689c498d8 Version: $LATEST
4893 4899 4897 4895
END RequestId: 2228fb39-d4f4-4e80-902c-38d689c498d8
REPORT RequestId: 2228fb39-d4f4-4e80-902c-38d689c498d8	Duration: 2.39 ms	Billed Duration: 3 ms	Memory Size: 128 MB	Max Memory Used: 94 MB	Init Duration: 1527.40 ms	

100 4897 4898 4897 4895
200 4892 4899 4897 4895
300 4898 4900 4897 4895
400 4894 4896 4897 4895
500 4898 4899 4897 4895
600 4892 4899 4897 4895
700 4891 4898 4897 4895
800 4894 4898 4897 4895
900 4892 4898 4897 4895
1000 4891 4897 4896 4894
1100 4891 4896 4896 4892.293975174407
1200 4891 4898 4896 4892.390403595309
1300 4890 4897 4896 4892.559077610742
1400 4890 4897 4896 4892.714265196534
1500 4896 4897 4896 4892.61717791195
1600 4891 4897 4896 4892.727742261463
1700 4890 4892 4895 4891.0693331298025
1800 4890 4895 4895 4891.26367852225
1900 4890 4891 4895 4891.602396085822
2000 4890 4896 4895 4891.714142324897
2100 4890 4896 4895 4891.816953828013
2200 4890 4896 4895 4891.911544977214
2300 4890 4892 4894 4890.158484206452
2400 4890 4896 4894 4890.225768094324
2500 4891 4896 4894 4890.24769446687
2600 4890 4894 4894 4890.38780108152
2700 4890 4896 4894 4890.43674980441
2800 4890 4897 4894 4890.441807010824
2900 4891 4897 4894 4890.406482072653
3000 4896 4897 4894 4890.174092597164
3100 4892 4897 4894 4890.120195128964
3200 4891 4898 4894 4890.070607064384
3300 4891 4897 4894 4890.064961635219
3400 4892 4897 4894 4890.019789796964
3500 4894 4896 4895 4891.938251906793
3600 4891 4896 4895 4891.983166804416
3700 4893 4898 4895 4891.864579334367
3800 4892 4899 4895 4891.7554735949025
3900 4892 4898 4895 4891.69506926139
4000 4891 4898 4895 4891.679472384408
4100 4892 4897 4895 4891.665122564855
4200 4893 4899 4895 4891.531986715468
4300 4892 4897 4895 4891.5294291989085
4400 4892 4899 4895 4891.447120584712
4500 4892 4899 4895 4891.371393003945
4600 4892 4899 4895 4891.301720266226
4700 4893 4899 4895 4891.197640460351
4800 4898 4899 4896.901993452853 4894
4900 4893 4899 4896.82987403833 4894
5000 4893 4899 4896.763520973811 4894
5100 4893 4899 4896.702473207407 4894
5200 4894 4900 4896.566350965531 4894
5300 4893 4900 4896.481090249871 4894
5400 4894 4901 4896.322691019271 4894
5500 4895 4901 4896.13697889919 4894
5600 4896 4901 4897.926137707695 4895
5700 4899 4901 4897.61222106903 4895
5800 4894 4897 4897.6832039531355 4895
5900 4895 4901 4897.548622395765 4895
6000 4894 4899 4897.54473476365 4895
6100 4895 4901 4897.42122459138 4895
6200 4900 4901 4897.107700783807 4895
6300 4894 4897 4897.2190228826485 4895
6400 4894 4897 4897.321444157912 4895
6500 4894 4901 4897.255765109417 4895
6600 4894 4901 4897.1953374676905 4895
6700 4894 4900 4897.179719146116 4895
6800 4893 4899 4897.2453051819575 4895
6900 4893 4900 4897.265669455225 4895
7000 4894 4900 4897.244427698417 4895
7100 4893 4898 4897.344817716765 4895
7200 4893 4898 4897.4371809924305 4895
7300 4893 4900 4897.442203722953 4895
7400 4894 4901 4897.366869272746 4895
7500 4894 4901 4897.2975582326035 4895
7600 4894 4901 4897.233788997249 4895
7700 4894 4899 4897.255074053806 4895
7800 4894 4901 4897.194701665836 4895
7900 4895 4900 4897.139156387486 4895
8000 4901 4902 4898.768229922898 4896
8100 4896 4902 4898.626850064343 4896
8200 4899 4903 4898.336863144397 4896
8300 4897 4903 4898.150017883756 4896
8400 4898 4904 4899.898156359932 4897
8500 4901 4903 4899.586476986307 4897
8600 4896 4903 4899.499607082875 4897
8700 4901 4903 4899.2197939499965 4897
8800 4896 4902 4899.2022201960635 4897
8900 4896 4903 4899.146073769229 4897
9000 4895 4902 4899.174372148188 4897
9100 4896 4897 4899.360319084434 4897
9200 4896 4903 4899.291531768433 4897
9300 4896 4902 4899.268222175234 4897
9400 4895 4902 4899.286754106889 4897
9500 4896 4902 4899.263826514415 4897
9600 4896 4900 4899.32268769639 4897
9700 4896 4902 4899.296887012733 4897
9800 4896 4902 4899.273149237842 4897
9900 4895 4896 4899.531153979434 4897
10000 4895 4902 4899.528663044772 4897
10100 4895 4902 4899.526371274248 4897
10200 4895 4902 4899.524262743578 4897
10300 4895 4901 4899.562300594398 4897
10400 4895 4902 4899.5573193139035 4897
10500 4895 4901 4899.592714107293 4897
10600 4895 4902 4899.585301096572 4897
10700 4895 4902 4899.578480797462 4897
10800 4895 4900 4899.6521614047315 4897
10900 4895 4901 4899.679973043231 4897
11000 4894 4895 4899.985405534691 4897
11100 4894 4899 4898.106505821765 4896
11200 4894 4901 4898.137967879125 4896
11300 4894 4899 4898.246869954644 4896
11400 4894 4901 4898.267109115595 4896
11500 4894 4900 4898.325707835271 4896
11600 4893 4899 4898.459576845384 4896
11700 4893 4899 4898.58274228043 4896
11800 4894 4900 4898.616104365648 4896
11900 4894 4900 4898.646798965814 4896
12000 4893 4900 4898 4894.7150171539415
12100 4894 4900 4898.737803124219 4896
12200 4894 4900 4898.758767228904 4896
12300 4893 4898 4898 4894.897988514383
12400 4894 4900 4898.906144902429 4896
12500 4892 4899 4897 4893.033582519752
12600 4892 4899 4897 4893.150830787782
12700 4892 4897 4897 4893.33865998728
12800 4892 4896 4897 4893.551448985867
12900 4892 4897 4897 4893.707246522827
13000 4892 4897 4897 4893.850587176519
13100 4892 4899 4897 4893.902511358968
13200 4897 4899 4897 4893.750394949588
13300 4893 4899 4897 4893.770352267505
13400 4893 4900 4897 4893.7487360937
13500 4897 4900 4897 4893.568937082984
13600 4893 4898 4897 4893.64338076353
13700 4897 4899 4897 4893.511983292596
13800 4894 4900 4897 4893.4710473687355
13900 4893 4900 4897 4893.473362293316
14000 4894 4900 4897.435514334062 4895
14100 4894 4898 4897.480648115915 4895
14200 4893 4900 4897.482195407135 4895
14300 4898 4900 4897.283730020353 4895
14400 4894 4901 4897.221066427803 4895
14500 4893 4898 4897.323324310218 4895
14600 4893 4894 4897 4893.577317274528
14700 4893 4900 4897.571135326584 4895
14800 4894 4896 4897 4893.6853810379625
14900 4893 4898 4897 4893.750514373926
15000 4893 4894 4897 4893.970351106627
15100 4894 4900 4897 4893.892766115881
15200 4894 4898 4897 4893.901340063858
15300 4893 4898 4897 4893.94920626949
15400 4893 4899 4897 4893.953267511946
15500 4892 4899 4897 4893.99698182807
15600 4892 4899 4896 4892.037200940458
15700 4892 4899 4896 4892.074204310173
15800 4893 4899 4896 4892.068271261116
15900 4892 4897 4896 4892.1827459705255
16000 4892 4893 4896 4892.447978958275
16100 4893 4899 4896 4892.4121605384325
16200 4893 4894 4896 4892.579094964743
16300 4893 4899 4896 4892.532793087851
16400 4893 4898 4896 4892.530171097315
16500 4893 4900 4896 4892.4478031641975
16600 4893 4900 4896 4892.372021007388
16700 4894 4900 4896 4892.262320264601
16800 4893 4900 4896 4892.201368501605
16900 4894 4900 4896 4892.105312379814
17000 4894 4900 4896 4892.016936481468
17100 4894 4900 4897 4893.935626729807
17200 4893 4900 4897 4893.900795939623
17300 4894 4900 4897.828772272971 4895
17400 4893 4900 4897.802485093433 4895
17500 4894 4900 4897.7383219280355 4895
17600 4895 4901 4897.599333380717 4895
17700 4895 4901 4897.47145774406 4895
17800 4894 4899 4897.473739856842 4895
17900 4894 4899 4897.475839501961 4895
18000 4895 4901 4897.357837890669 4895
18100 4895 4901 4897.249271167282 4895
18200 4895 4899 4897.229340545186 4895
18300 4894 4901 4897.171025694961 4895
18400 4899 4900 4898.957462271981 4896
18500 4899 4900 4898.760974437499 4896
18600 4894 4900 4898.780085866267 4896
18700 4894 4901 4898.757691436876 4896
18800 4895 4899 4898.77706535988 4896
18900 4899 4901 4898.555023473418 4896
19000 4894 4901 4898.5506240393925 4896
19100 4894 4900 4898.586554157374 4896
19200 4894 4899 4898.659589254426 4896
19300 4894 4900 4898.686806994854 4896
19400 4894 4899 4898.7518263176 4896
19500 4894 4901 4898.731691396964 4896
19600 4894 4895 4898.9530331318065 4896
19700 4894 4900 4898.956788395246 4896
19800 4893 4899 4897.040198989769 4895
19900 4893 4899 4897.116940441381 4895
20000 4893 4894 4897 4893.387434948735
20100 4893 4899 4897 4893.436412945986
20200 4893 4900 4897 4893.441497086113
20300 4893 4899 4897 4893.486152513524
20400 4893 4899 4897 4893.527237490096
20500 4893 4899 4897 4893.565037493317
20600 4892 4897 4897 4893.719748553209
20700 4892 4899 4897 4893.782134014373
20800 4891 4898 4897 4893.919486994842
20900 4891 4892 4896 4892.285724593467
21000 4891 4892 4896 4892.62267945051
21100 4890 4897 4896 4892.772781713973
21200 4896 4897 4896 4892.671015706984
21300 4891 4897 4896 4892.77727542408
21400 4891 4897 4896 4892.875039083294
21500 4892 4898 4896 4892.885030406538
21600 4896 4899 4896 4892.694333904256
21700 4892 4899 4896 4892.6787958231835
21800 4893 4899 4896 4892.624522305794
21900 4892 4897 4896 4892.694521637313
22000 4892 4898 4896 4892.71894633862
22100 4897 4899 4896 4892.501551392525
22200 4892 4899 4896 4892.5014273500265
