Sandbox logs:
0 OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
START RequestId: 9d552a72-bfc9-4295-85c1-17b55f83f94d Version: $LATEST
4893 4899 4897 4895
END RequestId: 9d552a72-bfc9-4295-85c1-17b55f83f94d
REPORT RequestId: 9d552a72-bfc9-4295-85c1-17b55f83f94d	Duration: 5.53 ms	Billed Duration: 6 ms	Memory Size: 128 MB	Max Memory Used: 94 MB	Init Duration: 1622.90 ms	

100 4897 4898 4897 4895
200 4892 4899 4897 4895
300 4898 4900 4897 4895
400 4894 4896 4897 4895
500 4898 4899 4897 4895
600 4892 4899 4897 4895
700 4891 4898 4897 4895
800 4894 4898 4897 4895
900 4892 4898 4897 4895
1000 4891 4897 4896 4894
1100 4891 4896 4896 4894
1200 4891 4898 4896 4894
1300 4890 4897 4896 4894
1400 4890 4897 4896 4894
1500 4896 4897 4896 4894
1600 4891 4897 4896 4894
1700 4890 4892 4895 4893
1800 4890 4895 4895 4893
1900 4890 4891 4895 4893
2000 4890 4896 4895 4893
2100 4890 4896 4895 4893
2200 4890 4896 4895 4893
2300 4890 4892 4894 4892
2400 4890 4896 4894 4892
2500 4891 4896 4894 4892
2600 4890 4894 4894 4892
2700 4890 4896 4894 4892
2800 4890 4897 4894 4892
2900 4891 4897 4894 4892
3000 4896 4897 4894 4892
3100 4892 4897 4894 4892
3200 4891 4898 4894 4892
3300 4891 4897 4894 4892
3400 4892 4897 4894 4892
3500 4894 4896 4895 4893
3600 4891 4896 4895 4893
3700 4893 4898 4895 4893
3800 4892 4899 4895 4893
3900 4892 4898 4895 4893
4000 4891 4898 4895 4893
4100 4892 4897 4895 4893
4200 4893 4899 4895 4893
4300 4892 4897 4895 4893
4400 4892 4899 4895 4893
4500 4892 4899 4895 4893
4600 4892 4899 4895 4893
4700 4893 4899 4895 4893
4800 4898 4899 4896 4894
4900 4893 4899 4896 4894
5000 4893 4899 4896 4894
5100 4893 4899 4896 4894
5200 4894 4900 4896 4894
5300 4893 4900 4896 4894
5400 4894 4901 4896 4894
5500 4895 4901 4896 4894
5600 4896 4901 4897 4895
5700 4899 4901 4897 4895
5800 4894 4897 4897 4895
5900 4895 4901 4897 4895
6000 4894 4899 4897 4895
6100 4895 4901 4897 4895
6200 4900 4901 4897 4895
6300 4894 4897 4897 4895
6400 4894 4897 4897 4895
6500 4894 4901 4897 4895
6600 4894 4901 4897 4895
6700 4894 4900 4897 4895
6800 4893 4899 4897 4895
6900 4893 4900 4897 4895
7000 4894 4900 4897 4895
7100 4893 4898 4897 4895
7200 4893 4898 4897 4895
7300 4893 4900 4897 4895
7400 4894 4901 4897 4895
7500 4894 4901 4897 4895
7600 4894 4901 4897 4895
7700 4894 4899 4897 4895
7800 4894 4901 4897 4895
7900 4895 4900 4897 4895
8000 4901 4902 4898 4896
8100 4896 4902 4898 4896
8200 4899 4903 4898 4896
8300 4897 4903 4898 4896
8400 4898 4904 4899 4897
8500 4901 4903 4899 4897
8600 4896 4903 4899 4897
8700 4901 4903 4899 4897
8800 4896 4902 4899 4897
8900 4896 4903 4899 4897
9000 4895 4902 4899 4897
9100 4896 4897 4899 4897
9200 4896 4903 4899 4897
9300 4896 4902 4899 4897
9400 4895 4902 4899 4897
9500 4896 4902 4899 4897
9600 4896 4900 4899 4897
9700 4896 4902 4899 4897
9800 4896 4902 4899 4897
9900 4895 4896 4899 4897
10000 4895 4902 4899 4897
10100 4895 4902 4899 4897
10200 4895 4902 4899 4897
10300 4895 4901 4899 4897
10400 4895 4902 4899 4897
10500 4895 4901 4899 4897
10600 4895 4902 4899 4897
10700 4895 4902 4899 4897
10800 4895 4900 4899 4897
10900 4895 4901 4899 4897
11000 4894 4895 4899 4897
11100 4894 4899 4898 4896
11200 4894 4901 4898 4896
11300 4894 4899 4898 4896
11400 4894 4901 4898 4896
11500 4894 4900 4898 4896
11600 4893 4899 4898 4896
11700 4893 4899 4898 4896
11800 4894 4900 4898 4896
11900 4894 4900 4898 4896
12000 4893 4900 4898 4896
12100 4894 4900 4898 4896
12200 4894 4900 4898 4896
12300 4893 4898 4898 4896
12400 4894 4900 4898 4896
12500 4892 4899 4897 4895
12600 4892 4899 4897 4895
12700 4892 4897 4897 4895
12800 4892 4896 4897 4895
12900 4892 4897 4897 4895
13000 4892 4897 4897 4895
13100 4892 4899 4897 4895
13200 4897 4899 4897 4895
13300 4893 4899 4897 4895
13400 4893 4900 4897 4895
13500 4897 4900 4897 4895
13600 4893 4898 4897 4895
13700 4897 4899 4897 4895
13800 4894 4900 4897 4895
13900 4893 4900 4897 4895
14000 4894 4900 4897 4895
14100 4894 4898 4897 4895
14200 4893 4900 4897 4895
14300 4898 4900 4897 4895
14400 4894 4901 4897 4895
14500 4893 4898 4897 4895
14600 4893 4894 4897 4895
14700 4893 4900 4897 4895
14800 4894 4896 4897 4895
14900 4893 4898 4897 4895
15000 4893 4894 4897 4895
15100 4894 4900 4897 4895
15200 4894 4898 4897 4895
15300 4893 4898 4897 4895
15400 4893 4899 4897 4895
15500 4892 4899 4897 4895
15600 4892 4899 4896 4894
15700 4892 4899 4896 4894
15800 4893 4899 4896 4894
15900 4892 4897 4896 4894
16000 4892 4893 4896 4894
16100 4893 4899 4896 4894
16200 4893 4894 4896 4894
16300 4893 4899 4896 4894
16400 4893 4898 4896 4894
16500 4893 4900 4896 4894
16600 4893 4900 4896 4894
16700 4894 4900 4896 4894
16800 4893 4900 4896 4894
16900 4894 4900 4896 4894
17000 4894 4900 4896 4894
17100 4894 4900 4897 4895
17200 4893 4900 4897 4895
17300 4894 4900 4897 4895
17400 4893 4900 4897 4895
17500 4894 4900 4897 4895
17600 4895 4901 4897 4895
17700 4895 4901 4897 4895
17800 4894 4899 4897 4895
17900 4894 4899 4897 4895
18000 4895 4901 4897 4895
18100 4895 4901 4897 4895
18200 4895 4899 4897 4895
18300 4894 4901 4897 4895
18400 4899 4900 4898 4896
18500 4899 4900 4898 4896
18600 4894 4900 4898 4896
18700 4894 4901 4898 4896
18800 4895 4899 4898 4896
18900 4899 4901 4898 4896
19000 4894 4901 4898 4896
19100 4894 4900 4898 4896
19200 4894 4899 4898 4896
19300 4894 4900 4898 4896
19400 4894 4899 4898 4896
19500 4894 4901 4898 4896
19600 4894 4895 4898 4896
19700 4894 4900 4898 4896
19800 4893 4899 4897 4895
19900 4893 4899 4897 4895
20000 4893 4894 4897 4895
20100 4893 4899 4897 4895
20200 4893 4900 4897 4895
20300 4893 4899 4897 4895
20400 4893 4899 4897 4895
20500 4893 4899 4897 4895
20600 4892 4897 4897 4895
20700 4892 4899 4897 4895
20800 4891 4898 4897 4895
20900 4891 4892 4896 4894
21000 4891 4892 4896 4894
21100 4890 4897 4896 4894
21200 4896 4897 4896 4894
