Sandbox logs:
0 OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
START RequestId: 9fc8531e-197f-46e3-86b4-9f13a1de51a4 Version: $LATEST
4893 4899 4897 4895
END RequestId: 9fc8531e-197f-46e3-86b4-9f13a1de51a4
REPORT RequestId: 9fc8531e-197f-46e3-86b4-9f13a1de51a4	Duration: 2.30 ms	Billed Duration: 3 ms	Memory Size: 128 MB	Max Memory Used: 93 MB	Init Duration: 1560.58 ms	

100 4897 4898 4897 4895
200 4892 4899 4897 4895
300 4898 4900 4897 4895
400 4894 4896 4897 4895
500 4898 4899 4897 4895
600 4892 4899 4897 4895
700 4891 4898 4897 4895
800 4894 4898 4897 4895
900 4892 4898 4897 4895
1000 4891 4897 4896 4894
1100 4891 4896 4896 4894
1200 4891 4898 4896 4892.390403595309
1300 4890 4897 4896 4892.559077610742
1400 4890 4897 4896 4892.714265196534
1500 4896 4897 4896 4892.61717791195
1600 4891 4897 4896 4892.727742261463
1700 4890 4892 4895 4891.0693331298025
1800 4890 4895 4895 4891.26367852225
1900 4890 4891 4895 4891.602396085822
2000 4890 4896 4895 4891.714142324897
2100 4890 4896 4895 4891.816953828013
2200 4890 4896 4895 4891.911544977214
2300 4890 4892 4894 4890.158484206452
2400 4890 4896 4894 4890.225768094324
2500 4891 4896 4894 4890.24769446687
2600 4890 4894 4894 4890.38780108152
2700 4890 4896 4894 4890.43674980441
2800 4890 4897 4894 4890.441807010824
2900 4891 4897 4894 4890.406482072653
3000 4896 4897 4894 4890.174092597164
3100 4892 4897 4894 4892
3200 4891 4898 4894 4892
3300 4891 4897 4894 4892
3400 4892 4897 4894 4892
3500 4894 4896 4895 4893
3600 4891 4896 4895 4893
3700 4893 4898 4895 4891.864579334367
3800 4892 4899 4895 4891.7554735949025
3900 4892 4898 4895 4891.69506926139
4000 4891 4898 4895 4891.679472384408
4100 4892 4897 4895 4891.665122564855
4200 4893 4899 4895 4891.531986715468
4300 4892 4897 4895 4891.5294291989085
4400 4892 4899 4895 4891.447120584712
4500 4892 4899 4895 4891.371393003945
4600 4892 4899 4895 4891.301720266226
4700 4893 4899 4895 4891.197640460351
4800 4898 4899 4896 4892.901993452853
4900 4893 4899 4896 4892.82987403833
5000 4893 4899 4896 4892.763520973811
5100 4893 4899 4896 4892.702473207407
5200 4894 4900 4896 4892.566350965531
5300 4893 4900 4896.481090249871 4894
5400 4894 4901 4896.322691019271 4894
5500 4895 4901 4896.13697889919 4894
5600 4896 4901 4897.926137707695 4895
5700 4899 4901 4897.61222106903 4895
5800 4894 4897 4897.6832039531355 4895
5900 4895 4901 4897.548622395765 4895
6000 4894 4899 4897.54473476365 4895
6100 4895 4901 4897.42122459138 4895
6200 4900 4901 4897.107700783807 4895
6300 4894 4897 4897.2190228826485 4895
6400 4894 4897 4897.321444157912 4895
6500 4894 4901 4897.255765109417 4895
6600 4894 4901 4897.1953374676905 4895
6700 4894 4900 4897.179719146116 4895
6800 4893 4899 4897 4895
6900 4893 4900 4897 4895
7000 4894 4900 4897 4895
7100 4893 4898 4897 4895
7200 4893 4898 4897 4895
7300 4893 4900 4897 4895
7400 4894 4901 4897 4895
7500 4894 4901 4897 4895
7600 4894 4901 4897 4895
7700 4894 4899 4897 4895
7800 4894 4901 4897 4895
7900 4895 4900 4897 4895
8000 4901 4902 4898.768229922898 4896
8100 4896 4902 4898.626850064343 4896
8200 4899 4903 4898.336863144397 4896
8300 4897 4903 4898.150017883756 4896
8400 4898 4904 4899.898156359932 4897
8500 4901 4903 4899.586476986307 4897
8600 4896 4903 4899.499607082875 4897
8700 4901 4903 4899.2197939499965 4897
8800 4896 4902 4899.2022201960635 4897
8900 4896 4903 4899.146073769229 4897
9000 4895 4902 4899.174372148188 4897
9100 4896 4897 4899.360319084434 4897
9200 4896 4903 4899.291531768433 4897
9300 4896 4902 4899.268222175234 4897
9400 4895 4902 4899.286754106889 4897
9500 4896 4902 4899.263826514415 4897
9600 4896 4900 4899 4897
9700 4896 4902 4899 4897
9800 4896 4902 4899 4897
9900 4895 4896 4899 4897
10000 4895 4902 4899 4897
10100 4895 4902 4899 4897
10200 4895 4902 4899 4897
10300 4895 4901 4899 4897
10400 4895 4902 4899 4897
10500 4895 4901 4899 4897
10600 4895 4902 4899 4897
10700 4895 4902 4899 4897
10800 4895 4900 4899 4897
10900 4895 4901 4899 4897
11000 4894 4895 4899 4897
11100 4894 4899 4898.106505821765 4896
11200 4894 4901 4898.137967879125 4896
11300 4894 4899 4898.246869954644 4896
11400 4894 4901 4898.267109115595 4896
11500 4894 4900 4898.325707835271 4896
11600 4893 4899 4898.459576845384 4896
11700 4893 4899 4898.58274228043 4896
11800 4894 4900 4898.616104365648 4896
11900 4894 4900 4898.646798965814 4896
12000 4893 4900 4898.7150171539415 4896
12100 4894 4900 4898.737803124219 4896
12200 4894 4900 4898.758767228904 4896
12300 4893 4898 4898.897988514383 4896
12400 4894 4900 4898.906144902429 4896
12500 4892 4899 4897.033582519752 4895
12600 4892 4899 4897.150830787782 4895
12700 4892 4897 4897.33865998728 4895
12800 4892 4896 4897 4893.551448985867
12900 4892 4897 4897 4893.707246522827
13000 4892 4897 4897 4893.850587176519
13100 4892 4899 4897 4893.902511358968
13200 4897 4899 4897 4893.750394949588
13300 4893 4899 4897 4893.770352267505
13400 4893 4900 4897 4893.7487360937
13500 4897 4900 4897 4893.568937082984
13600 4893 4898 4897 4893.64338076353
13700 4897 4899 4897 4895
13800 4894 4900 4897 4895
13900 4893 4900 4897 4895
14000 4894 4900 4897 4895
14100 4894 4898 4897 4895
14200 4893 4900 4897 4895
14300 4898 4900 4897 4895
14400 4894 4901 4897.221066427803 4895
14500 4893 4898 4897 4895
