Sandbox logs:
0 OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
START RequestId: 825f4481-5540-4c1f-9e57-1bbe3eccebbc Version: $LATEST
END RequestId: 825f4481-5540-4c1f-9e57-1bbe3eccebbc
REPORT RequestId: 825f4481-5540-4c1f-9e57-1bbe3eccebbc	Duration: 13.98 ms	Billed Duration: 14 ms	Memory Size: 128 MB	Max Memory Used: 93 MB	Init Duration: 1548.32 ms	

100 
200 4945 4951 4949.0 4947.0
300 4945 4952 4949.5 4947.5
400 4946 4952 4950.0 4948.0
500 4945 4952 4949.5 4947.5
600 4946 4950 4949.0 4947.0
700 4946 4952 4950.0 4948.0
800 4944 4951 4948.5 4946.5
900 4944 4950 4948.0 4946.0
1000 4944 4950 4948.0 4946.0
1100 4944 4950 4948.0 4946.0
1200 4945 4951 4949.0 4947.0
1300 4944 4946 4946.0 4944.0
1400 4945 4951 4949.0 4947.0
1500 4950 4951 4951.5 4949.5
1600 4945 4951 4949.0 4947.0
1700 4945 4948 4947.5 4945.5
1800 4946 4952 4950.0 4948.0
1900 4945 4952 4949.5 4947.5
2000 4945 4950 4948.5 4946.5
2100 4945 4952 4949.5 4947.5
2200 4945 4952 4949.5 4947.5
2300 4946 4952 4950.0 4948.0
2400 4951 4953 4953.0 4951.0
2500 4947 4948 4948.5 4946.5
2600 4946 4953 4950.5 4948.5
2700 4947 4953 4951.0 4949.0
2800 4952 4953 4953.5 4951.5
2900 4946 4953 4950.5 4948.5
3000 4946 4953 4950.5 4948.5
3100 4947 4953 4951.0 4949.0
3200 4947 4951 4950.0 4948.0
3300 4946 4953 4950.5 4948.5
3400 4946 4953 4950.5 4948.5
3500 4946 4951 4949.5 4947.5
3600 4947 4954 4951.5 4949.5
3700 4947 4952 4950.5 4948.5
3800 4947 4953 4951.0 4949.0
3900 4948 4954 4952.0 4950.0
4000 4947 4953 4951.0 4949.0
4100 4946 4953 4950.5 4948.5
4200 4946 4947 4947.5 4945.5
4300 4946 4952 4950.0 4948.0
4400 4946 4953 4950.5 4948.5
4500 4946 4953 4950.5 4948.5
4600 4946 4953 4950.5 4948.5
