Sandbox logs:
0 OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
START RequestId: 798d753e-31aa-4417-9b77-08604fa1b331 Version: $LATEST
END RequestId: 798d753e-31aa-4417-9b77-08604fa1b331
REPORT RequestId: 798d753e-31aa-4417-9b77-08604fa1b331	Duration: 1.86 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 94 MB	Init Duration: 1570.97 ms	

100 
200 22 -22
300 25 -25
400 30 -25
500 24 -24
600 26 -35
700 34 -27
800 26 -26
900 29 -29
1000 28 -28
1100 25 -25
1200 39 -30
1300 28 -32
1400 25 -26
1500 23 -22
1600 23 -23
1700 27 -29
1800 27 -27
1900 31 -31
2000 26 -33
2100 23 -23
2200 32 -32
2300 24 -24
2400 32 -25
2500 21 -26
2600 25 -25
2700 34 -25
2800 35 -29
2900 25 -25
3000 31 -31
3100 27 -28
3200 32 -38
3300 28 -28
3400 29 -29
3500 30 -39
3600 21 -21
3700 31 -37
3800 30 -30
3900 26 -25
4000 29 -29
4100 24 -24
4200 28 -40
4300 31 -31
4400 26 -27
4500 27 -27
4600 22 -22
4700 27 -35
4800 26 -25
4900 22 -22
5000 26 -23
5100 34 -27
5200 24 -24
5300 25 -25
5400 27 -35
5500 30 -30
5600 35 -27
5700 31 -25
5800 35 -24
5900 21 -21
6000 24 -24
6100 25 -27
6200 30 -43
6300 25 -26
6400 23 -23
6500 20 -20
6600 27 -27
6700 28 -28
6800 25 -24
6900 33 -28
7000 36 -29
7100 30 -30
7200 23 -23
7300 25 -29
7400 30 -30
7500 29 -29
7600 26 -26
7700 29 -28
7800 24 -23
7900 26 -30
8000 23 -23
8100 22 -22
8200 22 -22
8300 33 -27
8400 26 -26
8500 35 -30
8600 23 -23
8700 30 -31
8800 23 -27
8900 27 -27
9000 23 -30
9100 31 -34
9200 24 -27
9300 23 -23
9400 24 -24
9500 38 -29
9600 20 -21
9700 28 -25
9800 21 -26
9900 22 -22
10000 39 -31
10100 22 -22
10200 25 -25
10300 22 -26
10400 30 -30
10500 32 -28
10600 23 -29
10700 24 -23
10800 26 -23
10900 30 -30
11000 30 -30
11100 31 -35
11200 29 -29
11300 28 -27
11400 27 -24
11500 30 -29
11600 26 -26
11700 22 -22
11800 21 -21
11900 25 -25
12000 25 -25
12100 22 -26
12200 38 -28
12300 24 -24
12400 30 -30
12500 31 -31
12600 36 -31
12700 31 -31
12800 31 -34
12900 24 -24
13000 27 -27
13100 30 -30
13200 28 -28
13300 29 -28
13400 26 -26
13500 34 -39
13600 25 -25
13700 35 -37
13800 25 -25
13900 20 -22
14000 28 -27
14100 24 -24
14200 24 -24
14300 30 -30
14400 32 -23
14500 22 -23
14600 21 -24
14700 31 -26
14800 22 -23
14900 30 -38
15000 23 -24
15100 27 -26
15200 31 -25
15300 27 -24
15400 26 -30
15500 26 -20
15600 24 -24
15700 22 -22
15800 35 -26
15900 37 -27
16000 27 -34
16100 33 -29
16200 21 -22
16300 31 -33
16400 24 -24
16500 27 -27
16600 25 -25
16700 24 -25
16800 32 -37
16900 24 -24
17000 23 -23
17100 36 -31
17200 32 -26
17300 28 -33
17400 25 -25
17500 35 -24
17600 27 -27
17700 24 -24
17800 23 -23
17900 38 -30
18000 35 -28
18100 21 -21
18200 25 -24
18300 29 -29
18400 30 -30
18500 35 -32
18600 31 -41
18700 27 -27
18800 24 -24
18900 28 -28
19000 24 -32
19100 29 -29
19200 29 -36
19300 32 -32
19400 21 -24
19500 22 -22
19600 31 -31
19700 25 -27
19800 20 -20
19900 28 -28
20000 29 -33
20100 41 -31
20200 29 -29
20300 23 -23
20400 24 -24
20500 30 -30
20600 23 -23
20700 31 -38
20800 26 -25
20900 24 -24
21000 27 -30
21100 31 -30
21200 23 -23
21300 29 -30
21400 30 -30
21500 28 -24
21600 31 -29
21700 31 -41
21800 34 -29
21900 30 -30
22000 24 -25
22100 24 -25
22200 28 -32
22300 30 -30
22400 26 -26
22500 27 -27
22600 27 -36
22700 28 -28
22800 30 -30
22900 26 -26
23000 29 -26
23100 24 -34
23200 26 -36
23300 22 -22
23400 27 -21
23500 30 -28
23600 24 -27
23700 24 -24
23800 23 -23
23900 21 -20
24000 23 -29
24100 26 -26
24200 33 -27
24300 23 -23
24400 25 -25
24500 25 -28
24600 27 -27
24700 22 -22
24800 28 -28
24900 35 -30
25000 27 -28
25100 29 -23
25200 25 -26
25300 26 -27
25400 34 -32
25500 28 -25
25600 32 -31
25700 23 -23
25800 28 -28
25900 28 -28
26000 24 -31
26100 25 -32
26200 26 -26
26300 24 -24
26400 28 -29
26500 24 -27
26600 23 -22
26700 24 -24
26800 24 -24
26900 27 -32
27000 31 -38
27100 24 -31
27200 36 -31
27300 27 -27
27400 25 -25
27500 26 -37
27600 23 -23
27700 26 -26
27800 28 -28
27900 26 -26
28000 24 -33
28100 22 -22
28200 30 -30
28300 24 -31
28400 21 -30
28500 32 -31
28600 37 -31
28700 25 -25
28800 22 -22
28900 22 -22
29000 24 -24
29100 40 -31
29200 20 -24
29300 24 -25
29400 28 -24
29500 24 -24
29600 20 -20
29700 27 -27
29800 37 -30
29900 35 -27
30000 21 -27
30100 22 -22
30200 24 -26
30300 30 -37
30400 23 -23
30500 29 -29
30600 30 -30
30700 26 -23
30800 29 -29
30900 25 -23
31000 20 -20
31100 22 -22
31200 28 -29
31300 30 -30
31400 32 -32
31500 22 -23
31600 34 -32
31700 29 -31
31800 21 -21
31900 38 -29
32000 30 -30
32100 31 -31
32200 26 -32
32300 26 -33
32400 29 -31
32500 26 -25
32600 30 -30
32700 27 -27
32800 23 -23
32900 24 -25
33000 28 -28
33100 24 -24
33200 25 -34
33300 26 -33
33400 27 -27
33500 35 -25
33600 27 -28
33700 24 -23
33800 26 -26
33900 24 -24
34000 26 -25
34100 26 -34
34200 27 -27
34300 21 -22
34400 24 -25
34500 25 -27
